2019-11-12 17:51:38 | ----2.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----3.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----4.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----5.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----6.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----7.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----8.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----9.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----10.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----11.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----12.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----13.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----14.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----15.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----16.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----17.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----18.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----19.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----20.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----21.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----22.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----23.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----24.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
2019-11-12 17:51:38 | ----25.0----- | --唯一id-- | --标签算法-- | --推荐算法-- | --热词列表索引-- | --用户标签-- | --相似度--
